Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment
SRR22223232,RNA-Seq,294,5963770475,PRJNA899119,SAMN31648241,1996413739,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX18200894,WT,Illumina NovaSeq 6000,GSM6720804,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T19:57:00Z,1,GSM6720804,Caco-2,SRP406748,mock
SRR22223233,RNA-Seq,293,6062653809,PRJNA899119,SAMN31648242,2042198359,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX18200893,WT,Illumina NovaSeq 6000,GSM6720803,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:04:00Z,1,GSM6720803,Caco-2,SRP406748,mock
SRR22223234,RNA-Seq,292,6041326674,PRJNA899119,SAMN31648243,2030129934,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX18200892,WT,Illumina NovaSeq 6000,GSM6720802,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T19:55:00Z,1,GSM6720802,Caco-2,SRP406748,mock
SRR22223235,RNA-Seq,290,6041216722,PRJNA899119,SAMN31648244,2023631854,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX18200891,WT,Illumina NovaSeq 6000,GSM6720801,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:06:00Z,1,GSM6720801,Caco-2,SRP406748,mock
SRR22223236,RNA-Seq,295,5895813404,PRJNA899119,SAMN31648245,1989726512,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX18200890,WT,Illumina NovaSeq 6000,GSM6720800,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T19:57:00Z,1,GSM6720800,Caco-2,SRP406748,mock
SRR22223237,RNA-Seq,294,7625275999,PRJNA899119,SAMN31648246,2548246295,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX18200889,WT,Illumina NovaSeq 6000,GSM6720799,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:15:00Z,1,GSM6720799,Caco-2,SRP406748,mock
SRR22223238,RNA-Seq,295,6107844151,PRJNA899119,SAMN31648247,2051022161,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX18200888,WT,Illumina NovaSeq 6000,GSM6720798,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:04:00Z,1,GSM6720798,Caco-2,SRP406748,mock
SRR22223239,RNA-Seq,294,6214292022,PRJNA899119,SAMN31648248,2102336526,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX18200887,WT,Illumina NovaSeq 6000,GSM6720797,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:05:00Z,1,GSM6720797,Caco-2,SRP406748,mock
SRR22223240,RNA-Seq,294,5829792251,PRJNA899119,SAMN31648249,1958143086,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX18200886,WT,Illumina NovaSeq 6000,GSM6720796,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:03:00Z,1,GSM6720796,Caco-2,SRP406748,mock
SRR22223241,RNA-Seq,293,6417955150,PRJNA899119,SAMN31648250,2162824291,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX18200885,WT,Illumina NovaSeq 6000,GSM6720795,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T19:57:00Z,1,GSM6720795,Caco-2,SRP406748,infected
SRR22223242,RNA-Seq,294,6341235728,PRJNA899119,SAMN31648251,2132267430,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX18200884,WT,Illumina NovaSeq 6000,GSM6720794,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T19:58:00Z,1,GSM6720794,Caco-2,SRP406748,infected
SRR22223243,RNA-Seq,294,6405943045,PRJNA899119,SAMN31648252,2148273131,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX18200883,WT,Illumina NovaSeq 6000,GSM6720793,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T19:57:00Z,1,GSM6720793,Caco-2,SRP406748,infected
SRR22223244,RNA-Seq,292,6237567626,PRJNA899119,SAMN31648253,2090639229,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX18200882,WT,Illumina NovaSeq 6000,GSM6720792,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:05:00Z,1,GSM6720792,Caco-2,SRP406748,infected
SRR22223245,RNA-Seq,295,6164034502,PRJNA899119,SAMN31648254,2070533494,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX18200881,WT,Illumina NovaSeq 6000,GSM6720791,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:04:00Z,1,GSM6720791,Caco-2,SRP406748,infected
SRR22223246,RNA-Seq,295,6064486274,PRJNA899119,SAMN31648255,2038827317,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18200880,WT,Illumina NovaSeq 6000,GSM6720790,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:03:00Z,1,GSM6720790,Caco-2,SRP406748,infected
SRR22223247,RNA-Seq,289,6151902238,PRJNA899119,SAMN31648256,2053026381,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX18200879,WT,Illumina NovaSeq 6000,GSM6720789,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:04:00Z,1,GSM6720789,Caco-2,SRP406748,infected
SRR22223248,RNA-Seq,287,6453811536,PRJNA899119,SAMN31648257,2164485837,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX18200878,WT,Illumina NovaSeq 6000,GSM6720788,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:11:00Z,1,GSM6720788,Caco-2,SRP406748,infected
SRR22223249,RNA-Seq,293,15481014339,PRJNA899119,SAMN31648258,5156730203,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX18200877,WT,Illumina NovaSeq 6000,GSM6720787,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:59:00Z,1,GSM6720787,Caco-2,SRP406748,infected
SRR22223250,RNA-Seq,292,6187316383,PRJNA899119,SAMN31648259,2079223858,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX18200876,WT,Illumina NovaSeq 6000,GSM6720786,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:05:00Z,1,GSM6720786,Caco-2,SRP406748,infected
SRR22223251,RNA-Seq,288,12418201790,PRJNA899119,SAMN31648260,4102348699,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX18200875,WT,Illumina NovaSeq 6000,GSM6720785,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:48:00Z,1,GSM6720785,Caco-2,SRP406748,infected
SRR22223252,RNA-Seq,291,6379492631,PRJNA899119,SAMN31648261,2124516522,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX18200874,WT,Illumina NovaSeq 6000,GSM6720784,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:14:00Z,1,GSM6720784,Caco-2,SRP406748,infected
SRR22223253,RNA-Seq,291,9757402271,PRJNA899119,SAMN31648262,3235414307,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX18200873,WT,Illumina NovaSeq 6000,GSM6720783,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:29:00Z,1,GSM6720783,Caco-2,SRP406748,infected
SRR22223254,RNA-Seq,293,6219321519,PRJNA899119,SAMN31648263,2083341869,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX18200872,WT,Illumina NovaSeq 6000,GSM6720782,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:01:00Z,1,GSM6720782,Caco-2,SRP406748,infected
SRR22223255,RNA-Seq,287,9943476627,PRJNA899119,SAMN31648264,3315970135,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX18200871,WT,Illumina NovaSeq 6000,GSM6720781,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:17:00Z,1,GSM6720781,Caco-2,SRP406748,infected
SRR22223256,RNA-Seq,292,6636654441,PRJNA899119,SAMN31648265,2226326271,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX18200870,WT,Illumina NovaSeq 6000,GSM6720780,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:02:00Z,1,GSM6720780,Caco-2,SRP406748,infected
SRR22223257,RNA-Seq,291,6220853071,PRJNA899119,SAMN31648266,2085878793,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX18200869,WT,Illumina NovaSeq 6000,GSM6720779,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T19:59:00Z,1,GSM6720779,Caco-2,SRP406748,infected
SRR22223258,RNA-Seq,292,5121793272,PRJNA899119,SAMN31648267,1706719236,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX18200868,WT,Illumina NovaSeq 6000,GSM6720778,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T19:58:00Z,1,GSM6720778,Caco-2,SRP406748,infected
SRR22223259,RNA-Seq,289,7567962840,PRJNA899119,SAMN31648268,2534232628,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX18200867,WT,Illumina NovaSeq 6000,GSM6720777,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:14:00Z,1,GSM6720777,Caco-2,SRP406748,infected
SRR22223260,RNA-Seq,289,8103604857,PRJNA899119,SAMN31648269,2673413478,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX18200866,WT,Illumina NovaSeq 6000,GSM6720776,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:20:00Z,1,GSM6720776,Caco-2,SRP406748,infected
SRR22223261,RNA-Seq,292,14357916916,PRJNA899119,SAMN31648270,4726583983,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX18200865,WT,Illumina NovaSeq 6000,GSM6720775,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:39:00Z,1,GSM6720775,Caco-2,SRP406748,infected
SRR22223262,RNA-Seq,293,6788647460,PRJNA899119,SAMN31648271,2266608730,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX18200864,WT,Illumina NovaSeq 6000,GSM6720774,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:02:00Z,1,GSM6720774,Caco-2,SRP406748,infected
SRR22223263,RNA-Seq,289,7262500606,PRJNA899119,SAMN31648272,2337482264,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX18200863,WT,Illumina NovaSeq 6000,GSM6720773,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:12:00Z,1,GSM6720773,Caco-2,SRP406748,infected
SRR22223264,RNA-Seq,291,5972287694,PRJNA899119,SAMN31648273,1986890318,Caco-2,Human colorectal adenocarcinoma cells,"SYSTEMS MEDICINE, BIOQUANT, HEIDELBERG UNIVERSITY",public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX18200862,WT,Illumina NovaSeq 6000,GSM6720772,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-11-10T00:00:00Z,2022-11-07T20:03:00Z,1,GSM6720772,Caco-2,SRP406748,infected
